Ship_1_start,Ship_1_unload,Ship_1_load,Ship_2_start,Ship_2_unload,Ship_2_load,Ship_3_start,Ship_3_unload,Ship_3_load,Ship_4_start,Ship_4_unload,Ship_4_load,Ship_5_start,Ship_5_unload,Ship_5_load,Ship_6_start,Ship_6_unload,Ship_6_load,Ship_7_start,Ship_7_unload,Ship_7_load,Ship_8_start,Ship_8_unload,Ship_8_load,Ship_9_start,Ship_9_unload,Ship_9_load,Ship_10_start,Ship_10_unload,Ship_10_load,Ship_11_start,Ship_11_unload,Ship_11_load,Ship_12_start,Ship_12_unload,Ship_12_load,Ship_13_start,Ship_13_unload,Ship_13_load,Ship_14_start,Ship_14_unload,Ship_14_load,Ship_15_start,Ship_15_unload,Ship_15_load,Ship_16_start,Ship_16_unload,Ship_16_load,Ship_17_start,Ship_17_unload,Ship_17_load,Ship_18_start,Ship_18_unload,Ship_18_load,Ship_19_start,Ship_19_unload,Ship_19_load,Ship_20_start,Ship_20_unload,Ship_20_load,Ship_21_start,Ship_21_unload,Ship_21_load,Ship_22_start,Ship_22_unload,Ship_22_load
7067,2667,1821,5307,857,2442,7191,6107,4374,3736,813,3269,6068,5201,5557,4785,578,785,5033,1682,2958,4883,2934,3501,6427,6373,3939,7047,2320,2264,3613,2230,1338,6878,3172,109,5035,2132,254,10148,2643,1578,6023,2994,3014,11296,1651,558,8409,1661,2215,6654,993,602,9100,5916,930,11895,4175,2958,7504,1065,2064,10997,6729,759
6221,5087,2129,6892,4255,4536,5458,977,2191,6192,990,1997,6424,2701,1175,4992,2526,3600,6309,1924,21,5450,766,463,3993,2536,826,6991,6286,3612,2721,1590,2939,3815,2761,1476,3157,541,3173,9083,5,1701,6043,1717,1965,10203,70,1654,8963,6835,2124,6263,686,1430,4114,2184,6902,10678,2754,3184,8503,6391,5006,5027,531,7157
3263,97,499,7173,6481,4660,6672,3225,1090,7199,4656,438,4898,4453,5851,6066,1540,1271,4406,2551,4894,5147,4484,6424,2283,1385,185,4317,1190,1262,4070,1166,1638,2530,1748,1736,5789,4075,368,10779,6925,537,6291,1261,1393,11787,10912,775,4252,1821,1027,7007,3678,3110,8832,6565,9328,11108,7111,5825,7118,4381,5982,11653,1222,442
3665,367,1799,5352,350,2191,4537,2551,255,2981,852,291,6296,1279,2151,5797,807,207,6749,3373,3265,7087,5990,3870,1083,787,2734,4389,1494,3315,4542,3511,5390,2518,425,715,2082,178,1769,4391,1247,2227,6423,6406,11565,1650,1354,9563,3458,1236,5976,6439,4178,6894,11595,11563,4312,9822,4647,3366,8719,3015,4370,10873,8669,9006
5097,750,9,7193,4754,1179,2241,2128,6216,2420,414,3719,7168,5367,2017,5197,5135,6541,6641,4515,3927,4967,241,1522,3030,1213,3812,6210,3059,2653,6421,6063,2328,2808,2205,6255,3673,2304,4804,5371,5343,5548,11582,3255,692,9859,650,1535,8198,858,793,9155,8041,6102,4344,3451,10867,8541,2903,857,10074,1193,948,11210,9401,6286
4356,1112,2074,3618,2783,5839,6329,814,1563,5725,3998,4306,3818,3096,1898,6603,5137,4302,6053,4075,2746,6248,2582,2476,5629,5174,3409,5804,5313,2190,2686,1383,5538,6858,3939,1445,6173,1927,418,5576,432,5659,9019,8450,2354,10744,6045,331,8133,1149,1205,7216,6612,10633,11760,2740,2807,6495,5618,6543,9829,2929,4572,8095,7215,4080
5318,4166,5357,6674,1496,1580,7078,3980,4097,6033,5477,42,2620,1927,1276,5768,2266,1434,4724,4136,5230,6142,3594,1841,3864,273,1748,2681,1934,3246,6841,2609,193,4364,3517,3411,4664,722,1340,10803,7264,7599,2923,59,1829,5030,311,5846,8189,7961,5778,11237,5982,2624,11827,3904,3975,7420,5737,8982,11472,11385,11032,4960,4604,7800
6509,5975,6296,6758,6735,4821,7195,5694,2794,598,239,267,1969,378,1037,4936,3676,1657,5818,5547,6852,4389,3841,3510,5339,5237,6864,3993,58,1426,4425,1024,1102,4258,2920,4459,5282,2545,585,11138,5668,1686,4693,384,967,10565,9148,2105,6006,4236,164,7879,4914,7963,11898,8444,6888,10665,6548,5769,11119,8184,1050,8156,6541,3087
6830,1502,714,4844,1875,2695,4295,3397,6038,626,500,958,2628,1621,600,2917,1470,4175,7123,3076,419,4058,802,1053,6966,734,709,5361,991,1508,4503,1432,1556,5797,675,267,3322,1729,5286,7156,5362,7348,5276,3578,7329,3522,2927,661,1934,849,844,10928,1538,1225,10342,8314,6432,9886,6167,5444,3985,1506,5720,4702,516,2728
6042,4961,1519,5664,991,110,6936,3640,1604,1084,1024,2632,1607,67,1676,5622,2351,1294,4466,2351,1242,4309,2619,4955,6941,3864,2954,5878,1854,2188,4627,282,2521,5389,3857,1275,6879,1703,676,9142,3944,5736,9027,7796,9144,1256,453,5114,1929,1864,2665,10615,3225,3797,8460,7902,5420,9163,7799,10263,8199,7322,7589,6914,6614,4418
